actors,awards,country,director,genre,imdbID,imdbRating,imdbVotes,language,metascore,plot,poster,rated,released,runtime,title,type,writer,year
"Dustin Hoffman, Robert De Niro, Anne Heche, Denis Leary",Nominated for 2 Oscars. Another 2 wins & 17 nominations.,USA,Barry Levinson,"Comedy, Drama",tt0120885,7.1,"68,437","English, Albanian",73,"After being caught in a scandalous situation days before the election, the president does not seem to have much of a chance of being re-elected. One of his advisers contacts a top Hollywood producer in order to manufacture a war in Albania that the president can heroically end, all through mass media.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NTEyNzEwMF5BMl5BanBnXkFtZTgwNjcwNTcxMTE@._V1_SX300.jpg,R,09 Jan 1998,97 min,Wag the Dog,movie,"Larry Beinhart (book), Hilary Henkin (screenplay), David Mamet (screenplay)",1997
"Hilary Duff, Adam Lamberg, Hallie Todd, Robert Carradine",2 wins & 3 nominations.,USA,Jim Fall,"Adventure, Comedy, Family",tt0306841,5.4,"28,026","English, Italian",56,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNDg1NDc0NF5BMl5BanBnXkFtZTYwOTY2OTU3._V1_SX300.jpg,PG,02 May 2003,94 min,The Lizzie McGuire Movie,movie,"Susan Estelle Jansen, Ed Decter, John J. Strauss, Terri Minsky (characters)",2003
"Dwayne Johnson, Barry Pepper, Jon Bernthal, Susan Sarandon",1 nomination.,"USA, United Arab Emirates",Ric Roman Waugh,"Action, Drama, Thriller",tt0882977,6.5,"65,786","English, Spanish",51,"Construction company owner John Matthews learns that his estranged son, Jason, has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws, Jason has nothing to offer for leniency in good conscience. Desperately, John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee, John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources, wits and courage to survive.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTM4MTYzNjA3Nl5BMl5BanBnXkFtZTcwMzcyNDA5OA@@._V1_SX300.jpg,PG-13,22 Feb 2013,112 min,Snitch,movie,"Justin Haythe, Ric Roman Waugh",2013
"Emjay Anthony, Adam Scott, Toni Collette, Stefania LaVie Owen",2 wins & 8 nominations.,USA,Michael Dougherty,"Comedy, Fantasy, Horror",tt3850590,6.2,"34,211","English, German",49,A boy who has a bad Christmas ends up accidentally summoning a festive demon to his family home.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjk0MjMzMTI3NV5BMl5BanBnXkFtZTgwODEyODkxNzE@._V1_SX300.jpg,PG-13,04 Dec 2015,98 min,Krampus,movie,"Todd Casey, Michael Dougherty, Zach Shields",2015
"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett",8 nominations.,USA,Robert Rodriguez,"Horror, Sci-Fi",tt0133751,6.4,"92,720",English,61,"A horror tale set in a High School where the students suspect the teaching staff of being aliens, who are intent on making the students their victims.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTM5MTk3NDA0MF5BMl5BanBnXkFtZTgwODQ4OTI1MDE@._V1_SX300.jpg,R,25 Dec 1998,104 min,The Faculty,movie,"David Wechter (story), Bruce Kimmel (story), Kevin Williamson (screenplay)",1998
"Rae'Ven Kelly, Virginia Capers, Dororthy Thorton, Demetrice Cheathon",Nominated for 2 Oscars. Another 3 wins & 11 nominations.,USA,Brian Gibson,"Biography, Drama, Music",tt0108551,7.2,"13,653",English,N/A,"Anna Mae Bullock always had a special voice. Soon after arriving in St. Louis to live with the mother who had walked out when she was small, the now teenage Anna Mae soon attracts the attention of pop group leader Ike Turner. She becomes the band's singer, his wife, and mother to his children - not all hers. In love with Ike and determined not to leave in the way her mother had, she finds herself the target of increasing violence from her unstable husband who can't see who is making the band such a success.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MTYzNDIwNV5BMl5BanBnXkFtZTYwMTU3NTk4._V1_SX300.jpg,R,25 Jun 1993,118 min,What's Love Got to Do with It,movie,"Tina Turner (book), Kurt Loder (book), Kate Lanier (screenplay)",1993
"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro",1 win.,USA,James Mangold,"Crime, Drama, Thriller",tt0118887,6.9,"70,318",English,64,"Sometime in the 1970's, police officers from New York wanted a safe haven to live, away from the dangers of the streets of New York, this is when they established a &quot;Cop Land&quot; in the small New Jersey town of Garrison. Freddy Heflin who was always admired by the New York cops wanted to become one, but because he was deaf in one ear this prevents him from achieving his goal, but has become sheriff of Garrison. Recently there have been a dark omen surrounding the NYPD, and Freddy is now investigating on this case, then Internal Affairs officer Mo Tilden is also on the case and asks Freddy for help, but Freddy could not. Now Freddy suspects that a New York cop named Ray Donlan might be one of the many cops who is corrupted by the mob and other criminals. Now, Freddy must find a cop who is nicknamed &quot;Superboy&quot; who can testify against Donlan and protect him, before Donlan finds Superboy and kills him.",https://images-na.ssl-images-amazon.com/images/M/MV5BNmNhMzI0NmQtMzU1OS00NzQzLTg0NzctZDJkODZlMjU3OTc5XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,R,15 Aug 1997,104 min,Cop Land,movie,James Mangold,1997
"Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen",5 nominations.,USA,Joel Gallen,Comedy,tt0277371,5.7,"81,234",English,32,A sendup of all the teen movies that have accumulated in the past two decades.,https://images-na.ssl-images-amazon.com/images/M/MV5BODYyNTQyNzAzNF5BMl5BanBnXkFtZTgwNTA4ODYxMTE@._V1_SX300.jpg,R,14 Dec 2001,89 min,Not Another Teen Movie,movie,"Mike Bender, Adam Jay Epstein, Andrew Jacobson, Phil Beauman, Buddy Johnson",2001
"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick",3 wins & 10 nominations.,USA,David Ayer,"Crime, Drama, Thriller",tt1855199,7.7,"184,560","English, Spanish",68,"In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach?",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg,R,21 Sep 2012,109 min,End of Watch,movie,David Ayer,2012
"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray",1 win & 6 nominations.,USA,Cameron Crowe,"Comedy, Drama, Romance",tt1243974,5.4,"41,664","English, Hawaiian, Russian",40,"A celebrated military contractor returns to the site of his greatest career triumphs - the US Space program in Honolulu, Hawaii - and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4Mjc0NTE1NV5BMl5BanBnXkFtZTgwNzcwNTQ3NTE@._V1_SX300.jpg,PG-13,29 May 2015,105 min,Aloha,movie,Cameron Crowe,2015
